filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;comment;closest_EC_sector;EC_Press_dbar_val;tare_depth
Nunataryuk_WP4-2_STN1040_I20190627_R20200109_BECU_IOP-CTD.csv;STN1040;2_STN1040;69.61363;-133.33506;2019-06-27 21:41;1;NA;TUKTOYAKTUK A;101.93;0.0698903283480252
Nunataryuk_WP4-2_STN1050_I20190627_R20200109_BECU_IOP-CTD.csv;STN1050;2_STN1050;69.57692;-133.36053;2019-06-27 22:35;1;NA;TUKTOYAKTUK A;101.92;0.0693005026322346
Nunataryuk_WP4-2_STN1060_I20190627_R20200109_BECU_IOP-CTD.csv;STN1060;2_STN1060;69.47802;-133.42993;2019-06-27 23:05;1;NA;TUKTOYAKTUK A;101.92;0.0693005026322346
Nunataryuk_WP4-2_STN310_I20190619_R20200109_BECU_IOP-CTD.csv;STN310;2_STN310;69.38691;-137.79284;2019-06-19 18:05;1;NA;SHINGLE POINT A;101.44;0.0409888682742778
Nunataryuk_WP4-2_STN320_I20190619_R20200109_BECU_IOP-CTD.csv;STN320;2_STN320;69.29561;-137.39893;2019-06-19 17:43;1;NA;SHINGLE POINT A;101.44;0.0409888682742778
Nunataryuk_WP4-2_STN330_I20190619_R20200109_BECU_IOP-CTD.csv;STN330;2_STN330;69.20589;-137.01479;2019-06-19 17:17;1;NA;SHINGLE POINT A;101.38;0.0374499139795317
Nunataryuk_WP4-2_STN340alt_I20190621_R20200109_BECU_IOP-CTD.csv;STN340alt;2_STN340alt;69.15125;-136.85497;2019-06-21 19:11;1;NA;SHINGLE POINT A;101.02;0.0162161882110636
Nunataryuk_WP4-2_STN350_I20190619_R20200109_BECU_IOP-CTD.csv;STN350;2_STN350;69.11314;-136.79714;2019-06-19 16:05;1;NA;SHINGLE POINT A;101.36;0.0362702625479505
Nunataryuk_WP4-2_STN360_I20190618_R20200109_BECU_IOP-CTD.csv;STN360;2_STN360;68.99738;-136.48601;2019-06-18 19:43;1;NA;SHINGLE POINT A;101.15;0.0238839225163439
Nunataryuk_WP4-2_STN370_I20190618_R20200109_BECU_IOP-CTD.csv;STN370;2_STN370;68.95295;-136.25716;2019-06-18 20:03;1;NA;SHINGLE POINT A;101.15;0.0238839225163439
Nunataryuk_WP4-2_STN380alt_I20190618_R20200109_BECU_IOP-CTD.csv;STN380alt;2_STN380alt;68.86431;-135.8189;2019-06-18 16:00;1;NA;SHINGLE POINT A;101.08;0.0197551425058089
Nunataryuk_WP4-2_STN420_I20190621_R20200109_BECU_IOP-CTD.csv;STN420;2_STN420;69.37809;-137.09689;2019-06-21 17:34;1;NA;SHINGLE POINT A;101.08;0.0197551425058089
