"DateTime"	"Time_ms"	"Pres_dbar"	"Temp"	"Sal"	"Cond"	"Chla"	"pH"	"DOconc"	"DOsat"	"flag"
"2019-04-22 20:19:02"	0	-0.0885761007666588	0.002685546875	0.190450102090836	0.214393198490143	0.241363525390625	-20.9375877380371	11.2598786574622	77.2961578369141	FALSE
"2019-04-22 20:19:03"	167	-0.0893504619598389	0.003326416015625	0.190920799970627	0.21490404009819	0.66412353515625	-20.9364433288574	11.3992536381255	78.2546005249023	FALSE
"2019-04-22 20:19:03"	334	-0.0886187478899956	0.005340576171875	0.190715506672859	0.214696079492569	1.59344482421875	-20.9361915588379	11.5321836077672	79.1715469360352	FALSE
"2019-04-22 20:19:03"	500	-0.0894224941730499	0.005462646484375	0.193017080426216	0.217174366116524	2.0753173828125	-20.9363708496094	11.6621713770445	80.0654830932617	FALSE
"2019-04-22 20:19:03"	667	-0.0882936492562294	0.006378173828125	0.190974205732346	0.214981317520142	2.2906494140625	-20.9369411468506	11.7919729044371	80.9575881958008	FALSE
"2019-04-22 20:19:03"	834	-0.0882642716169357	0.0118408203125	0.191135913133621	0.215190768241882	2.37796020507812	44.6427688598633	11.9100596550562	81.7810287475586	FALSE
"2019-04-22 20:19:03"	1000	-0.088507853448391	0.00946044921875	0.191220432519913	0.215266391634941	2.41793823242188	44.7533111572266	12.0304016215539	82.6018524169922	FALSE
"2019-04-22 20:19:04"	1167	-0.0885372385382652	0.011322021484375	0.193019598722458	0.217215403914452	2.438232421875	44.753044128418	12.1512681406827	83.4371490478516	FALSE
"2019-04-22 20:19:04"	1334	-0.0862748026847839	0.00927734375	0.194700941443443	0.219011470675468	2.44845581054688	44.7482070922852	12.2600201700287	84.1800003051758	FALSE
"2019-04-22 20:19:04"	1500	-0.0796097740530968	-0.001251220703125	0.192324310541153	0.216385081410408	2.44769287109375	44.731372833252	12.3765793793785	84.9536514282227	FALSE
"2019-04-22 20:19:04"	1667	-0.0727940425276756	-0.00885009765625	0.193934604525566	0.218067690730095	2.45733642578125	44.6952934265137	12.4898516506518	85.7136840820312	FALSE
"2019-04-22 20:19:04"	1834	-0.0739247873425484	0.000457763671875	0.194511994719505	0.218750044703484	2.468505859375	44.6256790161133	12.5968782626303	86.4712677001953	FALSE
"2019-04-22 20:19:04"	2000	-0.0746963024139404	0.003265380859375	0.191929712891579	0.215989798307419	2.46502685546875	44.4862632751465	12.6983422879741	87.1731491088867	FALSE
"2019-04-22 20:19:05"	2167	-0.0732376202940941	0.015533447265625	0.190804168581963	0.214857459068298	2.46990966796875	44.211799621582	12.7787926319292	87.7551879882812	FALSE
"2019-04-22 20:19:05"	2334	-0.0611491948366165	0.0238037109375	0.192755445837975	0.217012718319893	2.47048950195312	43.6164093017578	12.8711011140804	88.4109344482422	FALSE
"2019-04-22 20:19:05"	2500	-0.0540671236813068	0.029144287109375	0.19181202352047	0.216031417250633	2.4764404296875	42.8419647216797	12.9798532965046	89.1708297729492	FALSE
"2019-04-22 20:19:05"	2667	-0.0509971529245377	0.03363037109375	0.193346858024597	0.217714011669159	2.47793579101562	41.774471282959	13.0614704412447	89.7438507080078	FALSE
"2019-04-22 20:19:05"	2834	-0.043796606361866	0.02667236328125	0.192337691783905	0.216581597924232	2.48898315429688	40.742847442627	13.154942047271	90.3676910400391	FALSE
"2019-04-22 20:19:05"	3000	-0.0362586416304111	0.035308837890625	0.193584114313126	0.217980623245239	2.48806762695312	39.7332954406738	13.2312515621798	90.9148559570312	FALSE
"2019-04-22 20:19:06"	3167	-0.033967774361372	0.03851318359375	0.193619176745415	0.218039467930794	2.4891357421875	38.6943397521973	13.3186088314955	91.5234146118164	FALSE
"2019-04-22 20:19:06"	3334	-0.0317271389067173	0.048553466796875	0.193417638540268	0.217888206243515	2.48922729492188	37.7002296447754	13.3877766176293	92.0246963500977	FALSE
"2019-04-22 20:19:06"	3500	-0.0280079152435064	0.062774658203125	0.192333713173866	0.216812759637833	2.48519897460938	36.8112487792969	13.4663612492146	92.6013717651367	FALSE
"2019-04-22 20:19:06"	3667	-0.0238593313843012	0.06524658203125	0.193405747413635	0.217984914779663	2.47927856445312	36.0230026245117	13.5309272491341	93.0525360107422	FALSE
"2019-04-22 20:19:06"	3834	-0.0216566119343042	0.068084716796875	0.192303270101547	0.216814622282982	2.4810791015625	35.2683486938477	13.6127856229301	93.6222763061523	FALSE
"2019-04-22 20:19:06"	4000	-0.0203372538089752	0.063934326171875	0.192416042089462	0.216909140348434	2.4842529296875	34.4618034362793	13.6850815605574	94.1085357666016	FALSE
"2019-04-22 20:19:07"	4167	-0.0188510809093714	0.0682373046875	0.193303674459457	0.217894464731216	2.49276733398438	33.6921806335449	13.74648780325	94.5428695678711	FALSE
"2019-04-22 20:19:07"	4334	-0.0151764042675495	0.06353759765625	0.192175045609474	0.216646686196327	2.4937744140625	32.9994010925293	13.8134451115151	94.9900360107422	FALSE
"2019-04-22 20:19:07"	4500	-0.0108316233381629	0.05316162109375	0.192344889044762	0.216762185096741	2.4847412109375	32.1441688537598	13.8798688736058	95.4189529418945	FALSE
"2019-04-22 20:19:07"	4667	-0.0083530880510807	0.043731689453125	0.193033486604691	0.217442780733109	2.49612426757812	31.2980613708496	13.9478260081796	95.8610458374023	FALSE
"2019-04-22 20:19:07"	4834	-0.00510871969163418	0.039825439453125	0.192322134971619	0.216650769114494	2.48553466796875	30.4800930023193	14.0103180139339	96.2794494628906	FALSE
