"depth.grid","Temp.smt","Sal.smt"
0.07,7.64561321186507,1.06241449812784
0.08,7.64573149003955,1.06263525047126
0.09,7.64582649344544,1.06287248003937
0.1,7.64589809164368,1.06312631840531
0.11,7.64594275473047,1.06339549285234
0.12,7.64596133770253,1.0636807033996
0.13,7.64595921116546,1.06398458595881
0.14,7.64594174572485,1.06430977644168
0.15,7.64589926969531,1.06465206727523
0.16,7.64582730968353,1.06500839168011
0.17,7.64573196587414,1.06540108162839
0.18,7.64561746853581,1.06582405593512
0.19,7.64557809033184,1.06629546876939
0.2,7.64561481406803,1.06677528290241
0.21,7.64577670248729,1.06725295558062
0.22,7.64596904939224,1.06765880532215
0.23,7.64609226906791,1.06792006186438
0.24,7.6460467757993,1.06796395494469
0.25,7.6457329838714,1.06771771430043
0.26,7.64512250511208,1.067082606133
0.27,7.64420909303349,1.06658830042332
0.28,7.64297540116359,1.06627661824302
0.29,7.64135337641719,1.06644797416006
0.3,7.63931060461476,1.06759652369264
0.31,7.63709816112929,1.0693850331113
0.32,7.63497684874942,1.07151239618944
0.33,7.63320747026379,1.07367750670047
0.34,7.63205082846103,1.0755792584178
0.35,7.63186208236676,1.07686984769282
0.36,7.63317804946721,1.07717431111504
0.37,7.63523116744893,1.07687122138257
0.38,7.63704574458435,1.07645134236749
0.39,7.63798171215068,1.07616398010262
0.4,7.63817863147917,1.07617857384321
0.41,7.63675357679564,1.07762741073418
0.42,7.63571678952317,1.07893883636787
0.43,7.6354188080098,1.07981603842263
0.44,7.63568346132218,1.08019698528061
0.45,7.63632091329401,1.08004679079289
0.46,7.63716281316292,1.07941292109528
0.47,7.63790786800699,1.07859380629823
0.48,7.63854858698645,1.07764281772074
0.49,7.63907753669213,1.07661327247934
0.5,7.63948728371486,1.0755584876905
0.51,7.63977039464547,1.07453178047073
0.52,7.63991943607479,1.07358646793653
0.53,7.63992697459366,1.07277586720439
0.54,7.63978557679291,1.07215329539083
0.55,7.63948780926336,1.07177206961232
0.56,7.63922819476398,1.07143386314411
0.57,7.63919270464819,1.07096064609541
0.58,7.63927210141607,1.07054800259634
0.59,7.63935615007919,1.07039277004546
0.6,7.63933461564916,1.07069178584137
0.61,7.63909726313757,1.07164188738263
0.62,7.63853036970069,1.0734948081766
0.63,7.63753659238908,1.07638110511734
0.64,7.63604874165693,1.07924387391208
0.65,7.63400604379326,1.08286622258075
0.66,7.63161012180652,1.08622651878039
0.67,7.62874596893777,1.08949553725827
0.68,7.62566790859282,1.09295372023084
0.69,7.62267067207688,1.09682275121025
0.7,7.62003678524956,1.10131056484162
0.71,7.61768815659986,1.10622275751947
0.72,7.61552373401335,1.11134892967045
0.73,7.61354076525201,1.11659089143187
0.74,7.61173649807779,1.12185045294105
0.75,7.61010818025266,1.12702942433531
0.76,7.60865305953861,1.13202961575197
0.77,7.60736838369758,1.13675283732834
0.78,7.60625140049155,1.14110089920174
0.79,7.6052993576825,1.14497561150949
0.8,7.60450950303238,1.14827878438891
0.81,7.6039213612145,1.15072449917011
0.82,7.60358822671106,1.15275446045404
0.83,7.60379689058651,1.15502562092728
0.84,7.60325800753401,1.1576960412429
0.85,7.60228105449024,1.16077336526244
0.86,7.60044733499538,1.1644258216533
0.87,7.59821380012217,1.16836225832298
0.88,7.59542627139997,1.1725640597538
0.89,7.59189232243399,1.17648227345154
0.9,7.58802968061788,1.18036402770351
0.91,7.58400854319082,1.18441243256199
0.92,7.57999910739202,1.18883059807923
0.93,7.57617157046069,1.19382163430752
0.94,7.572696129636,1.19958865129911
0.95,7.56974298215717,1.20633475910629
0.96,7.56748232526339,1.21426306778131
0.97,7.5659701297003,1.2238184005907
0.98,7.56419976631489,1.2338694306282
0.99,7.56223583355886,1.24422564229351
1,7.5587284931499,1.25589172490476
1.01,7.55324105640767,1.27007643036417
1.02,7.54587211917469,1.28708662683397
1.03,7.53671993829329,1.30716657134862
1.04,7.5258827706058,1.33056052094261
1.05,7.51345887295458,1.35751273265042
1.06,7.49954650218196,1.38826746350651
1.07,7.48424391513027,1.42306897054539
1.08,7.46764936864186,1.46216151080151
1.09,7.44986111955907,1.50578934130935
1.1,7.4309500756508,1.55426343230035
1.11,7.41030253495432,1.60942739606457
1.12,7.38946936051293,1.6674466412665
1.13,7.37096671166858,1.72206178876468
1.14,7.35566731123665,1.77151961359308
1.15,7.34328793031894,1.81615456193977
1.16,7.33559449437365,1.84917535360478
1.17,7.33071613028737,1.8793686263365
1.18,7.32731153889349,1.90810889818266
1.19,7.32471361120075,1.93981788237219
1.2,7.3191370463363,2.00128060631437
1.21,7.31215748243857,2.08437873697018
1.22,7.30380592941025,2.18447672486024
1.23,7.29411339715403,2.2969390205052
1.24,7.2831108955726,2.4171300744257
1.25,7.27082943456863,2.54041433714237
1.26,7.25730002404482,2.66215625917585
1.27,7.24255367390386,2.77772029104678
1.28,7.22643539874406,2.88179862241181
1.29,7.20874630133788,2.96338536094045
1.3,7.19314431886948,3.02706701542971
1.31,7.18138741261281,3.11709051871456
1.32,7.17146008414955,3.21270790532056
1.33,7.16165107248981,3.29338102102188
1.34,7.15313957302818,3.3848395069808
1.35,7.14683308658446,3.48793170138563
1.36,7.14235003899365,3.59314807794717
1.37,7.13893843799046,3.70114520227498
1.38,7.13584629130961,3.8125796399786
1.39,7.1323216066858,3.92810795666757
1.4,7.12761239185375,4.04838671795143
1.41,7.12096665454817,4.17407248943973
1.42,7.11163240250377,4.305821836742
1.43,7.09928083803296,4.44881263730892
1.44,7.08468029473978,4.60862913991355
1.45,7.068481414324,4.78128306518382
1.46,7.05132774922967,4.96264279313233
1.47,7.03386285190085,5.14857670377164
1.48,7.01673027478159,5.33495317711436
1.49,7.00057357031597,5.51764059317306
1.5,6.98603629094802,5.69250733196033
1.51,6.97376198912183,5.85542177348875
1.52,6.96480239576036,5.9979947848959
1.53,6.9618944894339,6.09682218702291
1.54,6.95903287609264,6.20868193083816
1.55,6.95769974248446,6.31164802610813
1.56,6.94892406406486,6.52470947879117
1.57,6.93674153737274,6.80766965852878
1.58,6.92078658617964,7.11403441101551
1.59,6.90078567106368,7.39350374572195
1.6,6.87747582987099,7.59934826891157
1.61,6.85130152984483,7.77503506496268
1.62,6.82253134810518,7.97838926311852
1.63,6.79143386177202,8.26723599262233
1.64,6.75613827766398,8.70552168378472
1.65,6.71465374088833,9.28655024942999
1.66,6.67558776862062,9.89699560542684
1.67,6.64618785766994,10.4608081736878
1.68,6.62027780968736,11.0358504411995
1.69,6.59728197933661,11.5998750802365
1.7,6.58058592050436,12.2280916211024
1.71,6.56749617930631,12.8861864368651
1.72,6.55461236093874,13.5148013737132
1.73,6.53853407059793,14.054578277835
1.74,6.51767801190029,14.4890307131171
1.75,6.49408804045742,14.8679475103527
1.76,6.46863827700704,15.1996774494399
1.77,6.44217231800469,15.4917503975639
1.78,6.41553375990594,15.7516962219104
1.79,6.38956619916632,15.9870447896648
1.8,6.3651132322414,16.2053259680126
1.81,6.34301845558672,16.4140696241393
1.82,6.3234436261956,16.6103727314204
1.83,6.30618203741046,16.7834057695654
1.84,6.29015050158657,16.9492362360763
1.85,6.27431603533302,17.1082584473239
1.86,6.26014788096354,17.2563900418554
1.87,6.24710355042651,17.3942487068002
1.88,6.23454529905991,17.5225639425814
1.89,6.22183538220168,17.6420652496221
1.9,6.20833605518978,17.7534821283454
1.91,6.19492439423453,17.8577525144025
1.92,6.18340883423115,17.9560947455579
1.93,6.17352427270682,18.0495431238943
1.94,6.16498604877897,18.1391297137316
1.95,6.15750950156502,18.2258865793892
1.96,6.15080997018238,18.310845785187
1.97,6.14460279374847,18.3950393954445
1.98,6.13860331138069,18.4794994744813
1.99,6.13252686219648,18.5652580866173
2,6.12625529888297,18.6540367811003
2.01,6.12027751813564,18.7481531416726
2.02,6.11386522196186,18.8418819037423
2.03,6.10609174967938,18.9284593762375
2.04,6.0957106925665,18.9991007042648
2.05,6.08385198820737,19.0616695089239
2.06,6.07005017119594,19.1166067996128
2.07,6.05664826319937,19.1609532761942
2.08,6.04606266188234,19.1919029440146
2.09,6.03840082896683,19.2128434440584
2.1,6.03223513849065,19.2244893235264
2.11,6.03078462716689,19.2097293640477
2.12,6.03534234605201,19.1575109306147
2.13,6.04221319476628,19.0942194712355
2.14,6.05393495652813,19.0072421645841
2.15,6.06768448769241,18.9049963395022
2.16,6.07682023917655,18.8219919019642
2.17,6.07843563490659,18.7684435145402
2.18,6.07609189829244,18.7225403567652
2.19,6.0705106562125,18.6879709794635
2.2,6.062357964328,18.6688289255724
2.21,6.05229987830017,18.6692077380294
2.22,6.04100245379021,18.6932009597717
2.23,6.02913174645935,18.7449021337368
2.24,6.0173361986315,18.8285336700756
2.25,6.00334771422511,18.9632709480984
2.26,5.99109716401724,19.1031204586788
2.27,5.98200270997566,19.266930110989
2.28,5.97443086445951,19.4501562850487
2.29,5.96860836519429,19.6187398440355
2.3,5.9680592341871,19.7852936453345
2.31,5.96995838805862,19.9517524526612
2.32,5.97017091446825,20.1133728560764
2.33,5.96461415889624,20.26596496277
2.34,5.95183665206998,20.4144251664026
2.35,5.93408419019942,20.5608628680214
2.36,5.91386775108457,20.7049040322684
2.37,5.89369831252543,20.8461746237854
2.38,5.87379900486147,20.9850270569086
2.39,5.85509434600823,21.1310598305952
2.4,5.83810364143116,21.2816807040651
2.41,5.82185455000644,21.4380787374675
2.42,5.80673733325823,21.5943015955197
2.43,5.79314346742441,21.7443937623752
2.44,5.78146442874289,21.8823997221875
2.45,5.77209169345154,22.0023639591101
2.46,5.76542265740756,22.098435225269
2.47,5.76171611911319,22.1698118375501
2.48,5.76044478483278,22.2208952277956
2.49,5.76091416138636,22.2559977455937
