"depth.grid","Temp.smt","Sal.smt"
0.08,7.01381746433878,4.55363007403697
0.09,7.01329969520168,4.55412748899074
0.1,7.01393207360593,4.55444979377766
0.11,7.01536198025435,4.55468846941921
0.12,7.01580551720473,4.55609047904754
0.13,7.01506965286953,4.55823543823668
0.14,7.01559734842126,4.56172393703316
0.15,7.0145924864254,4.57783807714558
0.16,7.0146295002254,4.59973741344479
0.17,7.0131511696063,4.5900774894352
0.18,7.01415451006299,4.58685562602927
0.19,7.01349037115146,4.60271154346669
0.2,7.0131918225831,4.61226988875644
0.21,7.01155044221652,4.62659730314054
0.22,7.00870360000677,4.64226676751772
0.23,7.0066487876125,4.6531991971201
0.24,7.00645728942599,4.65692993330796
0.25,7.00722231615638,4.65771406568812
0.26,7.00813743921459,4.65716864443376
0.27,7.00668051921412,4.65678564264868
0.28,7.00474443692628,4.65728702919073
0.29,7.0031896658009,4.65934543313694
0.3,7.00302181624414,4.66305351601689
0.31,7.00254281153804,4.66752519265278
0.32,7.00184428550316,4.67260178104932
0.33,7.00130867890079,4.67805438491776
0.34,7.00093093289782,4.6832484577929
0.35,7.00087508284914,4.68792506521319
0.36,7.0005554419371,4.69186279270656
0.37,6.99986986289697,4.69479901819257
0.38,6.99906738915904,4.69722329308964
0.39,6.99825148578978,4.69931362657716
0.4,6.99718359432026,4.6994107513823
0.41,6.99650421011517,4.70118936669869
0.42,6.99639274685979,4.70304793926321
0.43,6.99640894401626,4.70807040851126
0.44,6.99625279561402,4.72307632599744
0.45,6.99592380892316,4.74243345106733
0.46,6.99530459631291,4.75899344301504
0.47,6.99467032911865,4.76579356417065
0.48,6.99430177686634,4.7655934163303
0.49,6.99424964322599,4.75929866653041
0.5,6.99361647010862,4.75815865405504
0.51,6.9925001876177,4.75811771265427
0.52,6.99131786748093,4.75980665387953
0.53,6.99000457675004,4.76283724484843
0.54,6.98940374491381,4.76701059883883
0.55,6.98885735994943,4.77330690816249
0.56,6.98804995025922,4.78299746290489
0.57,6.9858773637461,4.79737190192285
0.58,6.98378528780861,4.8120210317279
0.59,6.98344162214812,4.82266302972408
0.6,6.98393098918713,4.82895380237783
0.61,6.98565557904226,4.82947031117854
0.62,6.98630690788493,4.82896111093697
0.63,6.98616020330888,4.82748299507474
0.64,6.98489000858943,4.82579238034029
0.65,6.98394310035606,4.82450343423773
0.66,6.98306420656323,4.82324663089508
0.67,6.98291619227045,4.82326636488096
0.68,6.9833567265686,4.82431831997347
0.69,6.98375997640889,4.82568292211064
0.7,6.98418727917965,4.82737156200974
0.71,6.98482504993653,4.82911538030694
0.72,6.98412826479264,4.83168884252246
0.73,6.98231737911018,4.83490989111437
0.74,6.97902852203535,4.8379976542436
0.75,6.97533588111517,4.84126283274014
0.76,6.97257022885298,4.84391264898327
0.77,6.97147503963058,4.84867996590368
0.78,6.97130282529377,4.85475889847531
0.79,6.97081031503681,4.86339476443955
0.8,6.97037158384158,4.87471343241755
0.81,6.96959435416899,4.8832346558323
0.82,6.96855893869324,4.88848365322099
0.83,6.96735970493514,4.89178033033337
0.84,6.96596121783029,4.89297197145966
0.85,6.96441674273497,4.89356036601689
0.86,6.96333330786507,4.89460870229662
0.87,6.96259692215462,4.89576286943364
0.88,6.96301534333279,4.89728631277648
0.89,6.96465380633988,4.89908272688514
0.9,6.9653381427266,4.90212683166688
0.91,6.96521704679614,4.90604064543333
0.92,6.96414174676969,4.91071993612846
0.93,6.96234858278136,4.91630182386276
0.94,6.96036775791625,4.92295577268503
0.95,6.9587971750705,4.93140561249618
0.96,6.9573412818758,4.93996448574947
0.97,6.95585026361674,4.94920724385894
0.98,6.95478670845063,4.95641066565439
0.99,6.95410843316707,4.96202176514758
1,6.95406350865701,4.96524844989685
1.01,6.95415257744268,4.9678858202447
1.02,6.95511388150209,4.96980709342682
1.03,6.95413028433562,4.97216537581994
1.04,6.95129888576097,4.97480032421943
1.05,6.94588557207729,4.97725879890447
1.06,6.94103727717039,4.97872310952679
1.07,6.93685906647344,4.97960986498013
1.08,6.93644340359179,4.97984853338185
1.09,6.93626742199172,4.98023078278205
1.1,6.93559879766709,4.9811320963718
1.11,6.93395357274994,4.98194704118444
1.12,6.93228030530042,4.98281727008479
1.13,6.93228519431135,4.98304862722603
1.14,6.9322539188407,4.98443646237099
1.15,6.93231705981324,4.98696444991176
1.16,6.93164990670512,4.99212855027773
1.17,6.93154568116107,4.9984522436929
1.18,6.93270609688253,5.00606122923176
1.19,6.9320963028568,5.0129231070086
1.2,6.93007285571623,5.01844552831887
1.21,6.92529011529339,5.02412975083769
1.22,6.91381756002985,5.03046480301362
1.23,6.90281983755969,5.03702555217715
1.24,6.89266100037297,5.04403996253279
1.25,6.8899409665046,5.05066413507996
1.26,6.88952797111391,5.05673625459618
1.27,6.89289525014802,5.06164268157452
1.28,6.89724724054802,5.0657879425072
1.29,6.89685360264328,5.06892654419606
1.3,6.89433255345852,5.0713659578415
1.31,6.89131848271905,5.07387046667426
1.32,6.88730440644831,5.076685089432
1.33,6.88334713037188,5.08003128358472
1.34,6.87185971600491,5.0858344987144
1.35,6.85267497854079,5.09229737174556
1.36,6.83362089359523,5.10954501643946
1.37,6.81219663863279,5.13534453265369
1.38,6.79100021377673,5.17807762039804
1.39,6.77143128459757,5.22723974490158
1.4,6.75644880938496,5.27565261205257
1.41,6.7441335055579,5.3120057301048
