"DateTime"	"Time_ms"	"Pres_dbar"	"Temp"	"Sal"	"Cond"	"Chla"	"pH"	"DOconc"	"DOsat"
2019-04-25 23:47:53	0	0.107738062739372	-7.67840576171875	0	-0.00138399156276137	0.543975830078125	6.15892314910889	20.6184486747732	111.882453918457
2019-04-25 23:47:54	167	0.107500165700912	-7.67953491210938	0	-0.0014407301787287	1.29556274414062	6.56006717681885	20.6162793270718	111.866546630859
2019-04-25 23:47:54	334	0.108512431383133	-7.6768798828125	0	-0.000437320879427716	1.6927490234375	6.44771671295166	20.6102554702826	111.84358215332
2019-04-25 23:47:54	500	0.10794847458601	-7.67520141601562	0	-0.000607533031143248	1.8748779296875	6.46799802780151	20.6116070786258	111.857063293457
2019-04-25 23:47:54	667	0.10848493874073	-7.67498779296875	0	-0.00102257379330695	1.94735717773438	6.65677738189697	20.6130515263705	111.865684509277
2019-04-25 23:47:54	834	0.107380740344524	-7.671630859375	-0.00919337477535009	0.00050931388977915	1.97805786132812	6.33961296081543	20.6106775420739	111.857666015625
2019-04-25 23:47:54	1000	0.107828103005886	-7.66885375976562	0	-0.000605725625064224	1.98297119140625	6.25532531738281	20.6007211473824	111.821220397949
2019-04-25 23:47:55	1167	0.107768394052982	-7.66567993164062	0	-0.00117308984044939	1.993896484375	6.47497606277466	20.600316732787	111.830642700195
2019-04-25 23:47:55	1334	0.108185432851315	-7.66290283203125	0	-0.000604505999945104	1.9842529296875	6.4342565536499	20.6011508553966	111.845336914062
2019-04-25 23:47:55	1500	0.108185432851315	-7.66378784179688	0	-0.00143664469942451	1.98275756835938	6.22464656829834	20.6097115870317	111.888572692871
2019-04-25 23:47:55	1667	0.107947528362274	-7.66427612304688	0	-0.000717112969141454	1.98831176757812	6.43362140655518	20.6063575640989	111.868576049805
2019-04-25 23:47:55	1834	0.108513377606869	-7.66680908203125	0	-0.000509077333845198	1.9927978515625	6.55729579925537	20.6136977828515	111.899147033691
2019-04-25 23:47:55	2000	0.107829056680202	-7.66680908203125	0	-0.000678323209285736	2.00057983398438	6.49881601333618	20.6132803605469	111.896881103516
2019-04-25 23:47:56	2167	0.107947528362274	-7.66262817382812	0	-0.000999832525849342	1.99649047851562	6.59010648727417	20.6042849059617	111.863357543945
2019-04-25 23:47:56	2334	0.107739962637424	-7.6611328125	0	-0.000526031362824142	1.99569702148438	6.41818141937256	20.6006375266399	111.849029541016
2019-04-25 23:47:56	2500	0.108102023601532	-7.65850830078125	0	-0.00149055582005531	1.99639892578125	6.58561658859253	20.597104702271	111.839454650879
2019-04-25 23:47:56	2667	0.10819111764431	-7.65341186523438	0	-0.00113008939661086	2.00253295898438	6.41697931289673	20.593051533517	111.836097717285
2019-04-25 23:47:56	2834	0.107830002903938	-7.64901733398438	0	-0.000978792435489595	2.00823974609375	6.44785976409912	20.5922605824861	111.847885131836
2019-04-25 23:47:56	3000	0.10881382972002	-7.64523315429688	0	-0.000467167643364519	2.001708984375	6.56649971008301	20.592491849487	111.862991333008
2019-04-25 23:47:57	3167	0.108634695410728	-7.63973999023438	-0.00972817279398441	8.12894068076275e-05	1.99871826171875	6.66645240783691	20.5792235863762	111.803153991699
