filename;station_name;cruise_station;lat_dec_deg;lon_dec_deg;date_heure_UTC;flag_qc;EC_Press_dbar_val;tare_depth;comment;closest_EC_sector;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-2_st120_I20190619_R20200109_BECU_IOP-CTD.csv;STN120;2_STN120;69.18151;-137.80621;2019-06-19 20:16;1;101.46;0.042168519705859;NA;SHINGLE POINT A;-1.5;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st140-alt_I20190621_R20200109_BECU_IOP-CTD.csv;STN140alt;2_STN140alt;69.02056;-137.32157;2019-06-21 18:51;1;101.02;0.0162161882110636;NA;SHINGLE POINT A;-1.5;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st150-alt_I20190618_R20200109_BECU_IOP-CTD.csv;STN150alt;2_STN150alt;68.98883;-137.03998;2019-06-18 21:18;1;101.17;0.025063573947925;NA;SHINGLE POINT A;10.0;12.0;-0.05;1.0;1
Nunataryuk_WP4-2_st1030_I20190627_R20200109_BECU_IOP-CTD.csv;STN1030;2_STN1030;69.64852;-133.2175;2019-06-27 22:05;1;101.93;0.0698903283480252;NA;TUKTOYAKTUK A;5.0;10.0;18.0;25.0;1
Nunataryuk_WP4-2_st1040_I20190627_R20200109_BECU_IOP-CTD.csv;STN1040;2_STN1040;69.61363;-133.33506;2019-06-27 21:41;1;101.93;0.0698903283480252;NA;TUKTOYAKTUK A;5.0;10.0;18.0;25.0;1
Nunataryuk_WP4-2_st1050_I20190627_R20200109_BECU_IOP-CTD.csv;STN1050;2_STN1050;69.57692;-133.36053;2019-06-27 22:35;1;101.92;0.0693005026322346;NA;TUKTOYAKTUK A;7.0;11.0;13.0;20.0;1
Nunataryuk_WP4-2_st1060_I20190627_R20200109_BECU_IOP-CTD.csv;STN1060;2_STN1060;69.47802;-133.42993;2019-06-27 23:05;1;101.92;0.0693005026322346;NA;TUKTOYAKTUK A;10.0;12.0;0.20;0.30;1
Nunataryuk_WP4-2_st310_I20190619_R20200109_BECU_IOP-CTD.csv;STN310;2_STN310;69.38691;-137.79284;2019-06-19 18:05;1;101.44;0.0409888682742778;NA;SHINGLE POINT A;-1.5;10.0;-0.05;35.0;1
Nunataryuk_WP4-2_st320_I20190619_R20200109_BECU_IOP-CTD.csv;STN320;2_STN320;69.29561;-137.39893;2019-06-19 17:43;1;101.44;0.0409888682742778;NA;SHINGLE POINT A;-2.0;12;-0.05;35.0;1
Nunataryuk_WP4-2_st330_I20190619_R20200109_BECU_IOP-CTD.csv;STN330;2_STN330;69.20589;-137.01479;2019-06-19 17:17;1;101.38;0.0374499139795317;NA;SHINGLE POINT A;-2.0;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st340-alt_I20190621_R20200109_BECU_IOP-CTD.csv;STN340alt;2_STN340alt;69.15125;-136.85497;2019-06-21 19:11;1;101.02;0.0162161882110636;NA;SHINGLE POINT A;0.0;15.0;0.00;20.0;1
Nunataryuk_WP4-2_st350_I20190619_R20200109_BECU_IOP-CTD.csv;STN350;2_STN350;69.11314;-136.79714;2019-06-19 16:05;1;101.36;0.0362702625479505;NA;SHINGLE POINT A;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st360_I20190618_R20200109_BECU_IOP-CTD.csv;STN360;2_STN360;68.99738;-136.48601;2019-06-18 19:43;1;101.15;0.0238839225163439;NA;SHINGLE POINT A;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st370_I20190618_R20200109_BECU_IOP-CTD.csv;STN370;2_STN370;68.95295;-136.25716;2019-06-18 20:03;1;101.15;0.0238839225163439;NA;SHINGLE POINT A;10.0;12;0.00;0.20;1
Nunataryuk_WP4-2_st380-alt_I20190618_R20200109_BECU_IOP-CTD.csv;STN380alt;2_STN380alt;68.86431;-135.8189;2019-06-18 16:00;1;101.08;0.0197551425058089;NA;SHINGLE POINT A;10.0;12;-0.05;0.20;1
Nunataryuk_WP4-2_st420_I20190621_R20200109_BECU_IOP-CTD.csv;STN420;2_STN420;69.37809;-137.09689;2019-06-21 17:34;1;101.08;0.0197551425058089;NA;SHINGLE POINT A;-2.0;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st430_I20190621_R20200109_BECU_IOP-CTD.csv;STN430;2_STN430;69.32647;-136.77635;2019-06-21 17:18;1;101.13;0.0227042710847627;NA;SHINGLE POINT A;-2.0;15.0;-0.05;35.0;1
Nunataryuk_WP4-2_st450_I20190618_R20200109_BECU_IOP-CTD.csv;STN450;2_STN450;69.16464;-136.48641;2019-06-18 21:46;1;101.18;0.0256533996637165;NA;SHINGLE POINT A;10.0;12;-0.05;0.20;1
Nunataryuk_WP4-2_st530_I20190621_R20200109_BECU_IOP-CTD.csv;STN530;2_STN530;69.38986;-136.44179;2019-06-21 16:45;1;101.13;0.0227042710847627;NA;SHINGLE POINT A;2.0;15.0;0.00;25.0;1
Nunataryuk_WP4-2_st540-alt_I20190621_R20200109_BECU_IOP-CTD.csv;STN540alt;2_STN540alt;69.28942;-136.32175;2019-06-21 17:01;1;101.13;0.0227042710847627;NA;SHINGLE POINT A;5.0;15.0;0.00;20.0;1
Nunataryuk_WP4-2_st550_I20190621_R20200109_BECU_IOP-CTD.csv;STN550;2_STN550;69.22626;-136.32775;2019-06-21 15:18;1;101.24;0.0291923539584618;NA;SHINGLE POINT A;12.0;14.0;-0.05;0.50;1
Nunataryuk_WP4-2_st565_I20190621_R20200109_BECU_IOP-CTD.csv;STN565;2_STN565;69.36257;-135.88754;2019-06-21 19:33;1;100.96;0.0126772339163201;NA;SHINGLE POINT A;12.0;14.0;0.05;0.15;1
Nunataryuk_WP4-2_st620_I20190627_R20200109_BECU_IOP-CTD.csv;STN620;2_STN620;69.47458;-133.72744;2019-06-27 19:46;1;101.98;0.072839456926979;NA;TUKTOYAKTUK A;10.0;13.0;0.00;0.60;1
Nunataryuk_WP4-2_st630_I20190627_R20200109_BECU_IOP-CTD.csv;STN630;2_STN630;69.44676;-133.80917;2019-06-27 19:27;1;102.00;0.0740191083585611;NA;TUKTOYAKTUK A;11.0;13.0;0.10;0.20;1
Nunataryuk_WP4-2_st740_I20190627_R20200109_BECU_IOP-CTD.csv;STN740;2_STN740;69.4017;-133.85444;2019-06-27 17:15;1;102.04;0.0763784112217243;NA;TUKTOYAKTUK A;11.0;13.0;0.00;0.20;1
Nunataryuk_WP4-2_st800_I20190624_R20200109_BECU_IOP-CTD.csv;STN800;2_STN800;69.59377;-133.44488;2019-06-24 15:18;1;101.48;0.0433481711374402;NA;TUKTOYAKTUK A;4;15.0;-0.05;30.0;1
Nunataryuk_WP4-2_st810_I20190624_R20200109_BECU_IOP-CTD.csv;STN810;2_STN810;69.53572;-133.42375;2019-06-24 16:05;1;101.47;0.0427583454216496;NA;TUKTOYAKTUK A;-2.0;15.0;-0.05;25.0;1
Nunataryuk_WP4-2_st820_I20190624_R20200109_BECU_IOP-CTD.csv;STN820;2_STN820;69.48537;-133.54258;2019-06-24 16:40;0;101.44;0.0409888682742778;NA;TUKTOYAKTUK A;13.0;16.0;0.00;3.0;0
Nunataryuk_WP4-2_st830_I20190627_R20200109_BECU_IOP-CTD.csv;STN830;2_STN830;69.43216;-133.65676;2019-06-27 18:57;1;102.00;0.0740191083585611;NA;TUKTOYAKTUK A;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st840_I20190627_R20200109_BECU_IOP-CTD.csv;STN840;2_STN840;69.39762;-133.80963;2019-06-27 17:42;1;102.02;0.0751987597901422;NA;TUKTOYAKTUK A;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st850_I20190627_R20200109_BECU_IOP-CTD.csv;STN850;2_STN850;69.36778;-133.89382;2019-06-27 16:50;1;102.04;0.0763784112217243;NA;TUKTOYAKTUK A;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st860_I20190627_R20200109_BECU_IOP-CTD.csv;STN860;2_STN860;69.35382;-133.92697;2019-06-27 16:27;1;102.08;0.0787377140848866;NA;TUKTOYAKTUK A;11.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st870_I20190627_R20200109_BECU_IOP-CTD.csv;STN870;2_STN870;69.28391;-133.96839;2019-06-27 15:27;1;102.10;0.0799173655164678;NA;TUKTOYAKTUK A;13.0;14.0;0.10;0.20;1
Nunataryuk_WP4-2_st999_I20190628_R20200109_BECU_IOP-CTD.csv;STN999;2_STN999;69.44687;-133.03141;2019-06-28 15:37;1;102.03;0.0757885855059328;NA;TUKTOYAKTUK A;-2.0;11.0;-0.05;30.0;1
Nunataryuk_WP4-3_st010_I20190802_R20200109_BECU_IOP-CTD.csv;STN010;3_STN010;69.45458;-133.14795;2019-08-02 19:37;1;101.34;0.0350906111163694;NA;TUKTOYAKTUK A;11.0;13.0;14.0;18.0;1
Nunataryuk_WP4-3_st020_I20190802_R20200109_BECU_IOP-CTD.csv;STN020;3_STN020;69.41669;-133.51731;2019-08-02 14:05;1;101.38;0.0374499139795317;NA;TUKTOYAKTUK A;15.0;15.5;2.0;5.0;1
Nunataryuk_WP4-3_st030_I20190802_R20200109_BECU_IOP-CTD.csv;STN030;3_STN030;69.39848;-133.64349;2019-08-02 13:10;1;101.34;0.0350906111163694;NA;TUKTOYAKTUK A;15.5;16.5;0.10;0.20;1
Nunataryuk_WP4-3_st040_I20190802_R20200109_BECU_IOP-CTD.csv;STN040;3_STN040;69.36262;-133.73505;2019-08-02 12:46;1;101.34;0.0350906111163694;NA;TUKTOYAKTUK A;15.5;16.5;0.10;0.20;1
Nunataryuk_WP4-3_st1030_I20190802_R20200109_BECU_IOP-CTD.csv;STN1030;3_STN1030;69.64782;-133.21743;2019-08-02 16:42;1;101.36;0.0362702625479505;NA;TUKTOYAKTUK A;07.5;08.5;27.5;28.5;1
