filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.04;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.05;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d04.csv;1;loess;0.05;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d05.csv;1;loess;0.05;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d06.csv;1;loess;0.05;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st810_I20190427_R20200109_BECU_IOP-CTD-d07.csv;1;loess;0.05;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d02.csv;3;loess;0.08;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d03.csv;3;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d04.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d05.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d06.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d07.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st830_I20190427_R20200109_BECU_IOP-CTD-d08.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.12;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d02.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d03.csv;1;loess;0.07;-0.5;0.5;-0.05;0.20;1
Nunataryuk_WP4-1_st840_I20190428_R20200109_BECU_IOP-CTD-d04.csv;1;loess;0.10;-0.5;0.5;-0.05;0.20;1
