V1,V2,V3
-149.966666666667,73.9666666666667,-3754
-149.9,73.9666666666667,-3752
-149.833333333333,73.9666666666667,-3751
-149.766666666667,73.9666666666667,-3751
-149.7,73.9666666666667,-3753
-149.633333333333,73.9666666666667,-3756
-149.566666666667,73.9666666666667,-3760
-149.5,73.9666666666667,-3763
-149.433333333333,73.9666666666667,-3766
-149.366666666667,73.9666666666667,-3768
-149.3,73.9666666666667,-3767
-149.233333333333,73.9666666666667,-3766
-149.166666666667,73.9666666666667,-3765
-149.1,73.9666666666667,-3765
-149.033333333333,73.9666666666667,-3763
-148.966666666667,73.9666666666667,-3762
-148.9,73.9666666666667,-3760
-148.833333333333,73.9666666666667,-3760
-148.766666666667,73.9666666666667,-3759
-148.7,73.9666666666667,-3755
-148.633333333333,73.9666666666667,-3751
-148.566666666667,73.9666666666667,-3751
-148.5,73.9666666666667,-3750
-148.433333333333,73.9666666666667,-3749
-148.366666666667,73.9666666666667,-3748
-148.3,73.9666666666667,-3746
-148.233333333333,73.9666666666667,-3744
-148.166666666667,73.9666666666667,-3741
-148.1,73.9666666666667,-3739
-148.033333333333,73.9666666666667,-3738
-147.966666666667,73.9666666666667,-3737
-147.9,73.9666666666667,-3736
-147.833333333333,73.9666666666667,-3734
-147.766666666667,73.9666666666667,-3733
-147.7,73.9666666666667,-3732
-147.633333333333,73.9666666666667,-3731
-147.566666666667,73.9666666666667,-3730
-147.5,73.9666666666667,-3729
-147.433333333333,73.9666666666667,-3728
-147.366666666667,73.9666666666667,-3727
-147.3,73.9666666666667,-3726
-147.233333333333,73.9666666666667,-3725
-147.166666666667,73.9666666666667,-3724
-147.1,73.9666666666667,-3722
-147.033333333333,73.9666666666667,-3721
-146.966666666667,73.9666666666667,-3720
-146.9,73.9666666666667,-3718
-146.833333333333,73.9666666666667,-3717
-146.766666666667,73.9666666666667,-3716
-146.7,73.9666666666667,-3714
-146.633333333333,73.9666666666667,-3713
-146.566666666667,73.9666666666667,-3711
-146.5,73.9666666666667,-3710
-146.433333333333,73.9666666666667,-3709
-146.366666666667,73.9666666666667,-3708
-146.3,73.9666666666667,-3706
-146.233333333333,73.9666666666667,-3705
-146.166666666667,73.9666666666667,-3704
-146.1,73.9666666666667,-3703
-146.033333333333,73.9666666666667,-3701
