"Longitude (x)","Latitude (y)","Nom de la Station","ID climatologique","Date/Heure","Année","Mois","Jour","Heure","Temp (°C)","Temp Indicateur","Point de rosée (°C)","Point de rosée Indicateur","Hum. rel (%)","Hum. rel. Indicateur","Dir. du vent (10s deg)","Dir. du vent Indicateur","Vit. du vent (km/h)","Vit. du vent Indicateur","Visibilité (km)","Visibilité Indicateur","Pression à la station (kPa)","Pression à la station Indicateur","Hmdx","Hmdx Indicateur","Refroid. éolien","Refroid. éolien Indicateur","Temps"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 00:00","2019","09","01","00:00","4,7","","2,1","","83","","4","","9","","","M","102,14","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 01:00","2019","09","01","01:00","4,5","","1,8","","83","","4","","8","","","M","102,13","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 02:00","2019","09","01","02:00","4,5","","1,6","","81","","5","","7","","","M","102,14","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 03:00","2019","09","01","03:00","4,5","","2,0","","83","","4","","7","","","M","102,13","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 04:00","2019","09","01","04:00","4,4","","1,7","","83","","4","","7","","","M","102,13","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 05:00","2019","09","01","05:00","4,0","","1,7","","85","","4","","7","","","M","102,13","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 06:00","2019","09","01","06:00","3,3","","1,8","","90","","4","","9","","","M","102,12","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 07:00","2019","09","01","07:00","3,5","","1,8","","89","","6","","10","","","M","102,12","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 08:00","2019","09","01","08:00","3,4","","2,0","","90","","6","","4","","","M","102,10","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 09:00","2019","09","01","09:00","4,1","","1,6","","84","","7","","5","","","M","102,09","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 10:00","2019","09","01","10:00","4,9","","1,1","","77","","9","","5","","","M","102,08","","","","","","ND"
"-135,01","68,22","AKLAVIK A","2200105","2019-09-01 11:00","2019","09","01","11:00","5,8","","1,6","","74","","10","","5","","","M","102,06","","","","","","ND"
